Elena	elena@yandex.ru	avatarElena.png	FEMALE	1995-01-05T12:45:40.284Z	Люблю заниматься йогой	UDELNAYA	red.png	2025-03-31T09:43:52.221Z	PROFESSIONAL	CROSSFIT;AEROBICS;PILATES	MIN10_30	1000	1400	false	USER
Maria	maria@yandex.ru	avatarMaria.png	FEMALE	1992-02-05T18:45:40.284Z	Люблю бегать	UDELNAYA	orange.png	2025-04-04T09:43:52.229Z	ADVANCED	BOXING;STRETCHING;CROSSFIT	MIN50_80	2000	1200	false	ADMIN
Elena	elena@yandex.ru	avatarElena.png	FEMALE	1980-07-22T10:45:40.284Z	Люблю заниматься плаванием	PETROGRADSKAYA	pink.png	2025-04-02T09:43:52.229Z	PROFESSIONAL	STRETCHING;CROSSFIT;AEROBICS	MIN80_100	4000	1400	true	ADMIN
Vladimir	vladimir@yandex.ru	avatarVladimir.png	MALE	1985-03-18T16:45:40.284Z	Люблю заниматься плаванием	SPORTIVNYAYA	yellow.png	2025-04-01T09:43:52.230Z	BEGINNER	AEROBICS;PILATES	MIN30_50	5000	1200	true	ADMIN
Sergey	serey@yandex.ru	avatarSergey.png	MALE	1995-01-05T12:45:40.284Z	Люблю заниматься теннисом	PIONERSKAYA	red.png	2025-03-30T09:43:52.230Z	ADVANCED	CROSSFIT;AEROBICS;PILATES	MIN50_80	3000	1200	true	USER
Alexander	alexander@yandex.ru	avatarAlexander.png	MALE	1980-07-22T10:45:40.284Z	Люблю заниматься спортом	PETROGRADSKAYA	yellow.png	2025-03-30T09:45:53.894Z	BEGINNER	AEROBICS;PILATES	MIN50_80	3000	1300	true	USER
Sergey	serey@yandex.ru	avatarSergey.png	MALE	1980-07-22T10:45:40.284Z	Люблю заниматься боксом	UDELNAYA	yellow.png	2025-04-03T09:45:53.895Z	PROFESSIONAL	PILATES	MIN10_30	3000	1300	true	USER
Alexander	alexander@yandex.ru	avatarAlexander.png	MALE	1988-11-11T22:45:40.284Z	Люблю заниматься теннисом	UDELNAYA	black.png	2025-04-04T09:45:53.896Z	ADVANCED	BOXING;STRETCHING;CROSSFIT	MIN30_50	1000	1200	true	ADMIN
Sergey	serey@yandex.ru	avatarSergey.png	MALE	1980-07-22T10:45:40.284Z	Люблю заниматься йогой	UDELNAYA	black.png	2025-03-31T09:45:53.896Z	PROFESSIONAL	YOGA;BOXING	MIN10_30	4000	1400	false	ADMIN
Alexander	alexander@yandex.ru	avatarAlexander.png	MALE	1992-02-05T18:45:40.284Z	Люблю бегать	UDELNAYA	orange.png	2025-04-02T09:45:53.897Z	ADVANCED		MIN10_30	4000	1400	true	USER
Dmitry	dmitry@yandex.ru	avatarDmitry.png	MALE	1978-05-23T08:45:40.284Z	Люблю заниматься спортом	SPORTIVNYAYA	orange.png	2025-04-01T09:45:53.897Z	ADVANCED	BOXING;STRETCHING;CROSSFIT	MIN50_80	5000	1100	true	ADMIN
Dmitry	dmitry@yandex.ru	avatarDmitry.png	MALE	1988-11-11T22:45:40.284Z	Люблю заниматься теннисом	UDELNAYA	yellow.png	2025-03-31T09:45:53.897Z	ADVANCED	PILATES	MIN10_30	4000	1400	true	USER
Vladimir	vladimir@yandex.ru	avatarVladimir.png	MALE	1995-01-05T12:45:40.284Z	Люблю заниматься боксом	ZVEZDNYAYA	orange.png	2025-04-01T09:45:53.898Z	ADVANCED	CROSSFIT;AEROBICS;PILATES	MIN10_30	4000	1200	true	USER
Maria	maria@yandex.ru	avatarMaria.png	FEMALE	1985-03-18T16:45:40.284Z	Люблю заниматься спортом	PIONERSKAYA	purple.png	2025-03-29T09:45:53.898Z	BEGINNER	YOGA;BOXING;STRETCHING	MIN80_100	1000	1400	true	ADMIN
Alexander	alexander@yandex.ru	avatarAlexander.png	MALE	1980-07-22T10:45:40.284Z	Люблю ходить пешком	PETROGRADSKAYA	purple.png	2025-04-03T09:45:53.899Z	ADVANCED	CROSSFIT;AEROBICS;PILATES	MIN30_50	5000	1400	false	USER
Grigoriy	grigoriy@yandex.ru	avatarGrigoriy.png	MALE	1980-07-22T10:45:40.284Z	Люблю заниматься спортом	PIONERSKAYA	white.png	2025-04-04T09:45:53.899Z	ADVANCED	BOXING;STRETCHING;CROSSFIT	MIN80_100	2000	1400	false	ADMIN
